epoch,loss,train_cindex
1,4.860905413646774,0.5923824959481362
2,4.639094984675029,0.6999459751485684
3,4.46398484563253,0.7497028633171259
4,4.320454118720978,0.7663965424095084
5,4.135775861012409,0.7773095623987034
6,4.000199252821834,0.7874122096164236
7,3.897965672504471,0.7867639113992436
8,3.789412195902752,0.7893571042679632
9,3.7145745763816986,0.8002701242571583
10,3.660795587133691,0.8027552674230146
11,3.588226869881871,0.8092382495948136
12,3.5746348737234093,0.8115072933549433
13,3.486974356164894,0.8217720151269584
14,3.44416373992062,0.8248514316585629
15,3.399566834231457,0.8255537547271745
16,3.345641814082502,0.8318746623446786
17,3.3003648505153427,0.8324149108589951
18,3.262655419039439,0.8394381415451108
19,3.1913971805189507,0.8408427876823339
20,3.1406424342389085,0.844462452728255
21,3.0985672426032256,0.8527822798487305
22,3.0770203923604575,0.857914640734738
23,3.032923503094409,0.8591031874662345
24,2.985836289493913,0.8690977849810912
25,2.949743952617109,0.8727174500270124
26,2.936637633296859,0.8874662344678552
27,2.8831830618371925,0.8835764451647758
28,2.8541636945732147,0.8914100486223663
29,2.8431672705225197,0.8964883846569421
30,2.8031150174428183,0.8967044840626688
31,2.7464053908505113,0.8971907077255538
32,2.6764706837604324,0.9008103727714749
33,2.682149082781321,0.9007563479200432
34,2.6342092613618537,0.9090761750405186
35,2.6275341539497834,0.9045380875202593
36,2.5695795112824342,0.9102106969205834
37,2.5102725967345947,0.906807131280389
38,2.5091759861712477,0.9119394921663966
39,2.4838556343293092,0.9088060507833603
40,2.428352539797863,0.9106428957320367
41,2.3813975843559785,0.9135062128579147
42,2.3465463722566047,0.9168017287952458
43,2.334144546324948,0.9145867098865478
44,2.2721122833619636,0.9203673689897353
45,2.226338459305974,0.9030794165316045
46,2.406424097267978,0.9139924365207995
47,2.329842594253969,0.9155591572123176
48,2.263323588543628,0.9182063749324689
49,2.2211542704019203,0.9196110210696921
50,2.1599543161660315,0.9212857914640735
51,2.13701626574658,0.9266342517558077
52,2.098139031345107,0.9209616423554835
53,2.0852016004692597,0.9314424635332252
54,2.0201047567957375,0.9247974068071313
55,1.9910963127411991,0.9307941653160454
56,1.9127029664066422,0.9307941653160454
57,1.9352574482500313,0.9339276066990816
58,1.91136000912831,0.9321988114532685
59,1.8546470121207486,0.9379254457050243
60,1.8043518679209023,0.9318206374932468
61,1.8213237471369854,0.9446785521339817
62,1.784013939669812,0.9424635332252836
63,1.6977626386895237,0.942409508373852
64,1.666239160131738,0.9448406266882766
65,1.6447443981247254,0.941761210156672
66,1.6092547297956474,0.9511615343057807
67,1.5884590761728554,0.944462452728255
68,1.5438513391946693,0.9502971366828741
69,1.5219478530577388,0.9502431118314425
70,1.521985142106512,0.953160453808752
71,1.5037488669276717,0.9495407887628309
72,1.4590168152468272,0.9559697460831983
73,1.427353870437806,0.9589411129119395
74,1.3930716150735756,0.9482441923284711
75,1.376093944871282,0.959643435980551
76,1.3321502179984588,0.9593192868719611
77,1.3248453101958615,0.9595894111291194
78,1.2527124872169342,0.964235548352242
79,1.2532814209719738,0.9593192868719611
80,1.2672818195388977,0.9672069151809832
81,1.239932699854594,0.9662344678552134
82,1.1703289828626027,0.9654240950837385
83,1.181340366961008,0.9719070772555376
84,1.136295402863897,0.9708806050783361
85,1.1473057298775178,0.9685035116153431
86,1.1096261112565495,0.9696920583468396
87,1.0714734548545746,0.9729875742841707
88,1.024763053679562,0.9741761210156672
89,1.015219171363187,0.975310642895732
90,0.9712904964584902,0.9779578606158833
91,0.9572698141197603,0.9782820097244732
92,0.9079161188209871,0.9790383576445165
93,0.9105018171440645,0.9810372771474879
94,0.8789340023056091,0.9820637493246893
95,0.8492186979117643,0.9828741220961642
96,0.8317208041148971,0.9830361966504592
97,0.7835000815640492,0.9837385197190708
98,0.8108046849568685,0.984981091301999
99,0.744198722532954,0.9853592652620206
100,0.7658506876014801,0.9863857374392221
